# Your holdings. Edit market_value to your real amounts; everything recomputes.
# Brokerage per-position values below are EQUAL-WEIGHT PLACEHOLDERS summing to
# ~$100k -- replace with actuals for real concentration/leverage numbers.
# 401k pool funds use plain labels (treated as 1x exposure to themselves).
ticker,market_value,account
AAPU,9000,brokerage
MSFU,9000,brokerage
METU,9000,brokerage
TSLL,9000,brokerage
CONL,9000,brokerage
PTIR,9000,brokerage
FNGU,9000,brokerage
BULZ,9000,brokerage
FFLG,9000,brokerage
DRAM,9000,brokerage
CASH,10000,brokerage
FCNTX,24000,roth
CASH,1000,roth
FIDGRCO,1400,401k
FIDCONTRA,800,401k
VTINTL,800,401k
EMMKT,800,401k
WBSMID,200,401k
